title,label
Trump to sign order on Tuesday easing energy regulations: officials,TRUE
 Donald Trump Is Clearly Panicking; Avoiding The People Who Voted For Him,FAKE
 Anti-Gay GOP Rep Gets BUSTED For Having Inappropriate Relations With A Man In His State Office,FAKE
 Muslim Internment Flyers SHOCK Students Of UC San Diego With Stark Warning,FAKE
 Eric Trump Just Asked The Labor Department To Let Him Hire Foreign Workers AGAIN,FAKE
Giuliani sought to end prosecution of Turk in Iran sanctions case,TRUE
Bannon departure tips trade scales in favor of White House 'globalists',TRUE
" Obama Just Delivered His Most Scathing Rebuke Of Trumpcare Yet, And It’s Awesome (SCREENSHOTS)",FAKE
Group of 40 U.S. House Democrats oppose delay of Labor Dept retirement rule,TRUE
" Mike Pence Saw ‘DO NOT TOUCH’ On Critical NASA Tech, So He Touched It (TWEETS)",FAKE
Trump dictated misleading statement on son's meeting with Russian: Washington Post,TRUE
"Trump administration red tape tangles up visas for skilled foreigners, data shows",TRUE
 WATCH: Trump Insults Poland By Downplaying The Horrors They Experienced During World War II,FAKE
 Deplorable: That Time Trump Accused Half The Country of Being Lazy Moochers,FAKE
Delrahim to be nominated to head U.S. Justice Department's Antitrust Division,TRUE
 Howard Stern: Having Trump On My Show To Demean Women With Sex Talk Was No Accident,FAKE
Police union warns Trump 'sanctuary city' cuts could risk safety,TRUE
 CONFIRMED: Special Counsel Mueller Is Actually Investigating Donald Trump,FAKE
 Snowflake Alert: Kellyanne Conway Says Anderson Cooper Is Sexist Because He Rolled His Eyes (VIDEO),FAKE
 JUST IN: Republicans In Florida Are Giving One Presidential Candidate A Pretty Big Lead Already (VIDEO),FAKE
Trump's $250 billion China 'miracle' adds gloss to 'off-kilter' trade,TRUE
 Donald Trump: ‘We Should Just Cancel The Election’,FAKE
Trump's opponents race to the courthouse to thwart him,TRUE
"In about-face, Trump nominates new head of export bank",TRUE
 Ben Carson’s Prepared HUD Testimony Contained Word-For-Word Plagiarism,FAKE
 New Poll Is DEVASTATING News For Trump – It’s Worse Than His Slipping Approval Rating,FAKE
Belarus crackdown throws U.S. sanctions relief in doubt,TRUE
 Craziest Person In Congress Wants To Investigate Everyone BUT Trump; Maybe You’re On The List,FAKE
 Accused Child Molesting Senate Candidate Roy Moore Sides With Putin Over Reagan (VIDEO),FAKE
First two Democrats back Trump's Supreme Court pick,TRUE
Effort to repeal/replace Obamacare clears first Senate hurdle,TRUE
 WATCH: Trump’s Treasury Sec. Steve Mnuchin Says NFL Players Have No Right To Free Speech,FAKE
"Charlottesville schools, parents address children's fears after violence",TRUE
 Trump Tells DACA Recipients Not To Worry And Gets Thrashed By The Internet,FAKE
U.N. rights boss urges U.S. Congress to give 'Dreamers' legal status,TRUE
" Whoopi Goldberg FURIOUS Over Trump’s John Lewis Attacks, GOES OFF In PERFECT Pre-Inauguration Rant (VIDEO)",FAKE
Jane Goodall urges U.S. Senate to halt quest for Arctic refuge oil,TRUE
"U.S. will admit up to 45,000 refugees next year -Trump",TRUE
"Trump Obamacare move seen harming Americans, bipartisan prospects",TRUE
Republicans join push to lift secrecy around misconduct in Congress,TRUE
"Donald Trump Jr. wants 'leak' probe, as Congress' Russia probes press on",TRUE
" Trump’s Labor Secretary Pick Wants To Eliminate Break Time, Overtime Pay, And Other Protections",FAKE
